,Neighbourhood,# Services,Pop.,Ppl to 1 clinic
0,"Church-Yonge Corridor, 75",12,31340,2612
1,"Danforth, 66",1,9666,9666
2,"East End-Danforth, 62",1,21381,21381
3,"Henry Farm, 53",3,15723,5241
4,"Woburn, 137",5,53485,10697
5,"Etobicoke West Mall, 13",1,11848,11848
6,"Elms-Old Rexdale, 5",1,9456,9456
7,"Moss Park, 73",6,20506,3418
8,"Yorkdale-Glen Park, 31",1,14804,14804
9,"Downsview-Roding-CFB, 26",2,35052,17526
10,"Milliken, 130",1,26572,26572
11,"Bay Street Corridor, 76",5,25797,5159
12,"Yonge-Eglinton, 100",4,11817,2954
13,"Weston-Pellam Park, 91",2,11098,5549
14,"York University Heights, 27",2,27593,13796
15,"Niagara, 82",6,31180,5197
16,"Willowridge-Martingrove-Richview, 7",1,22156,22156
17,"Palmerston-Little Italy, 80",1,13826,13826
18,"Waterfront Communities-The Island, 77",1,65913,65913
19,"Islington-City Centre West, 14",1,43965,43965
20,"Steeles, 116",1,24623,24623
21,"Humewood-Cedarvale, 106",1,14365,14365
22,"Clairlea-Birchmount, 120",1,26984,26984
23,"Rexdale-Kipling, 4",1,10529,10529
24,"Humbermede, 22",1,15545,15545
25,"Eglinton East, 138",2,22776,11388
26,"Rosedale-Moore Park, 98",1,20923,20923
27,"Annex, 95",3,30526,10175
28,"Trinity-Bellwoods, 81",1,16556,16556
29,"Greenwood-Coxwell, 65",2,14417,7208
30,"Bendale, 127",1,29960,29960
31,"High Park-Swansea, 87",2,23925,11962
32,"Rockcliffe-Smythe, 111",1,22246,22246
33,"Blake-Jones, 69",2,7727,3864
34,"Danforth East York, 59",1,17180,17180
35,"Newtonbrook West, 36",1,23831,23831
36,"Wychwood, 94",1,14349,14349
37,"Briar Hill-Belgravia, 108",2,14257,7128
38,"Keelesdale-Eglinton West, 110",1,11058,11058
39,"Westminster-Branson, 35",1,26274,26274
40,"Willowdale East, 51",1,50434,50434
41,"Kensington-Chinatown, 78",3,17945,5982
42,"Malvern, 132",1,43794,43794
43,"Caledonia-Fairbank, 109",1,9955,9955
44,"Corso Italia-Davenport, 92",1,14133,14133
45,"New Toronto, 18",1,11463,11463
46,"South Parkdale, 85",1,21849,21849
47,"L'Amoreaux, 117",2,43993,21996
48,"Wexford-Maryvale, 119",1,27917,27917
49,"Victoria Village, 43",1,17510,17510
